Term [en-US],Term [ar],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
BUIDL,BUIDL,BUIDL（构建）,BUIDL,BUIDL,BUIDL (voir nos réalisations),BUIDL,BUIDL,Ginawa da gangan & ci gaba ,BUIDL,BUIDL,BUIDL,BUIDL,BUIDL (ビドル),BUIDL (비들),بیدل,BUIDL,BUIDL,BUIDL,BUIDL,BUIDL,BUIDL,BUIDL,BUIDL,BUIDL,BUIDL,BUIDL,BUIDL,
bytecode,شفرة البايت,字节码,位元組碼,bytecode,bytecode,Bytecode,σύνολο εντολών,Kalmomin shirye-shirye na na'ura mai kwakwalwa,बाइटकोड,bytecode,kode byte,bytecode,バイトコード,바이트코드,بایت‌کد,kod bait,code wey machne dey undastand,bytecode,bytecode,bytecode,байт-код,código de bytes,bytecode,ไบต์โค้ด,bayt kodu,байт-код,mã byte,
Byzantine fault tolerance,التسامح مع الخطأ البيزنطي,拜占庭容错,拜占庭容錯算法,Byzantijnse fouttolerantie,tolérance aux pannes byzantines,Byzantine-Fehlertoleranz,Ανοχή Βυζαντινής Βλάβης,Tsananin haƙuri ga kurakuran Byzantine,बायजैंटाइन फॉल्ट टॉलरेंस,bizánci hibatűrés,Toleransi kesalahan Byzantine,Tolleranza agli errori bizantini,ビザンチン障害耐性,비잔틴 장애 허용,تحمل خطای بیزانس,toleransi kesalahan byzantine,Network wey no fail even if some parts bad,Bizantyjska tolerancja błędów,Tolerância a falhas bizantinas,Byzantine fault tolerance,Задача византийских генералов,tolerancia a fallas bizantinas,Byzantine fault tolerance,การทนความผิดพร่องแบบไบแซนไทน์,Bizans hata toleransı,Візантійська відмовостійкість,Hệ thống chịu lỗi Byzantine,
Byzantium fork,انقسام (فورك) Byzantium,拜占庭分叉,拜占庭分叉,Byzantium fork,Fork Byzance,Byzantium-Fork,Byzantium fork,Byzantium fork,बायजैंटियम फोर्क,Byzantium elágazás,Byzantium fork,Fork Byzantium,ビザンチウムフォーク,비잔티움 포크,هارد فورک بیزانس,Byzantium fork,Change wey happen for di network,Fork Byzantium,Bifurcação Byzantium,Fork-ul Byzantium,Византийский форк,actualización Byzantium,Byzantium fork,การแยกบิแซนเทียม,Bizans çatalı,Форк Byzantium,phân nhánh Byzantium,
Cancel,إلغاء,取消,取消,annuleren,Annuler,Stornieren,Cancel (Ακύρωση),Soke,कैंसिल करें,visszavonás,Batal,Annulla,キャンセル,취소,لغو,Batalkan,Cancel,Anuluj,Cancelar,Anulează,Отмена,cancelar,Kanselahin,ยกเลิก,İptal,Скасувати,Hủy bỏ,
Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,
centralized exchange,بورصة مركزية,中心化交易所,中心化交易所,centrale exchange,Échange centralisé,Zentralisierte Börse,Κεντρικό Χρηματιστήριο,Hannuwan ciniki mai cibiya (CEX),Centralized exchange,centralizált tőzsde,Bursa Tersentralisasi,Exchange centralizzato,中央集権型取引所,중앙화 거래소,صرافی متمرکز,Pertukaran berpusat,Company wey dey buy and sell crypto,Giełda scentralizowana,Corretora centralizada,Bursă descentralizată,Централизованная биржа,cambio centralizado,Centralized exchange,ตลาดแลกเปลี่ยนรวมศูนย์,Merkezi borsa,Централізована біржа,Sàn giao dịch tập trung,
CEX,CEX,CEX（中心化交易所）,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,
chain ID,مُعرفّ السلسلة,链 ID,鏈ID,chain-ID,ID de chaîne,Chain-ID,Αναγνωριστικό αλυσίδας,Gane shaida na sarkar,चेन ID,láncazonosító,ID chain,chain ID,チェーンID,체인 ID,شناسه زنجیره,ID rantaian,Number wey tell you which network you dey,ID łańcucha,ID da cadeia,ID chain,ID блокчейна,ID de cadena,ID ng chain,ID เชน,zincir kimliği,ID мережі,ID chuỗi,
Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,
Clear,مسح,清除,清除,wissen,Effacer,Löschen,Clear (Απαλοιφή),Share,हटाएं,törlés,Hapus,Elimina,消去,지우기,پاک کردن,Kosongkan,Clear,Wyczyść,Limpar,Clear,Очистить,borrar,I-clear,ล้าง,Temizle,Очистити,Xoá,
client,عميل (الإيثيريوم أو بلوكتشين متوافق آخر),客户端（Ethereum 或其他兼容区块链）,客戶端,client,client (Ethereum ou autre blockchaîne compatible),Client (Ethereum oder eine andere kompatible Blockchain),πελάτης (Ethereum ή άλλη συμβατή ομάδα καταχώρισης),Software na hulɗa,क्लाइंट (एथेरियम या दूसरा कम्पेटिबिल ब्लॉकचेन),kliens (Ethereum vagy más kompatibilis blokklánc),klien (Ethereum atau blockchain yang kompatibel lainnya),client (blockchain Ethereum o altre compatibili),クライアント,클라이언트(Ethereum 또는 기타 호환 가능한 블록체인),کلاینت (اتریوم یا سایر بلاک‌چین‌های سازگار),klien (Ethereum atau rantaian blok serasi lain),software wey you dey use to connect to di network,Klient (Ethereum lub innego kompatybilnego blockchaina),cliente (Ethereum ou outra blockchain compatível),client (Ethereum sau alt blockchain compatibil),клиент (Ethereum или другой совместимый блокчейн),cliente (Ethereum u otra blockchain compatible),kliyente (Ethereum o iba pang katugmang blockchain),ไคลเอ็นต์,istemci,клієнт (Ethereum або інший сумісний блокчейн),phần mềm (Ethereum hoặc chuỗi khối tương thích khác),
Codefi,التداول والتمويل اللامركزي (CodeFi),Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,CodeFi,Codefi,
coin,عملة,代币,幣,coin/cryptomunt,monnaie/jeton fongible,Coin,νόμισμα,Sikka,कॉइन,érme,koin,moneta,コイン,코인,کوین,coin,digital moni,Coin / moneta,moeda,monedă,монета,moneda,coin,เหรียญ,coin,монета,đồng,
Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,
CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,
cold storage,التخزين البارد (غير متصل بالإنترنت),冷存储,冷儲存,koude opslag/cold storage,stockage déconnecté,Cold Storage,ψυχρή αποθήκευση,Ajiye kashe gaba ɗaya,कोल्ड स्टोरेज,hideg tárolás,cold storage,cold storage,コールドストレージ,콜드 스토리지,کیف پول سرد,simpanan sejuk,Wallet wey no dey connected to internet,Zimny portfel (cold wallet),cold storage,cold storage,холодное хранилище,almacenamiento en frío,cold storage,ที่เก็บเงินระยะยาว,soğuk depolama,холодне сховище,kho lạnh,
cold wallet,محفظة باردة / تخزين بارد,冷钱包 / 冷存储,冷錢包 / 冷儲存,koude wallet/koude opslag/cold storage,portefeuille déconnecté /stockage déconnecté,Cold Wallet / Cold Storage,ψυχρό πορτοφόλι / ψυχρή αποθήκευση,Walat ajiyar kashe gaba ɗaya,कोल्ड वॉलेट / कोल्ड स्टोरेज,hardveres pénztárca,cold wallet / cold storage,cold wallet / cold storage,コールドウォレット / コールドストレージ,콜드 월렛 / 콜드 스토리지,کیف پول سرد/رذخیره‌سازی سرد,dompet sejuk / simpanan sejuk,Wallet wey no dey connected to internet,Zimny portfel (cold wallet),cold wallet / cold storage,cold wallet / cold storage,холодный кошелек / холодное хранилище,monedero en frío / almacenamiento en frío,cold wallet / cold storage,วอลเล็ตเงินเย็น / ที่เก็บเงินระยะยาว,soğuk cüzdan / soğuk depolama,холодний гаманець/холодне сховище,ví lạnh/kho lạnh,
Community Platform,منصة المجتمع,社区平台,社群平台,communityplatform,Plateforme communautaire,Community-Plattform,Πλατφόρμα Κοινότητας,Dandalin al'umma,कम्युनिटी प्लेटफ़ॉर्म,Közösségi platform,Platform Komunitas,Piattaforma della community,コミュニティプラットフォーム,커뮤니티 플랫폼,پلتفرم انجمن,Platform Komuniti,Place where crypto users dey meet,Platforma społeczności,Plataforma da comunidade,Platforma comunității,Платформа сообщества,plataforma comunitaria,Platform ng Komunidad,แพลตฟอร์มชุมชน,Topluluk Platformu,Платформа спільноти,Nền tảng cộng đồng,
compile,تجميع,编译,編譯,Compiling,Compiler,Kompilierung,Μεταγλώττιση,Tara,कम्पाइलिंग,fordítás,Mengompilasi,Compiling,コンパイル,컴파일링,همگردانی,Penyusunan,Turn code to machine talk,Kompilowanie,Compilação,Compilare,Компиляция,compilación,Pinagsasama-sama,การคอมไพล์,Derleme,Компіляція,Biên dịch,
Compound,بروتوكول Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,
Confirm,تأكيد,确认,確認,bevestigen,Confirmer,Bestätigen,Confirm (Επιβεβαίωση),Tabbatar,कन्फर्म करें,megerősítés,Konfirmasikan,Conferma,確定,컨펌,تایید,Sahkan,Confirm,Potwierdź,Confirmar,Confirmă,Подтвердить,confirmar,Kumpirmahin,ยืนยัน,Onayla,Підтвердити,Xác nhận,
confirmation,تأكيد,确认,確認,bevestiging,confirmation,Bestätigung,επιβεβαίωση,tabbatarwa,कन्फर्मेशन,megerősítés,konfirmasi,conferma,承認,컨펌,تایید,pengesahan,confirm say transaction don happen true true,Potwierdzenie,confirmação,confirmare,подтверждение,confirmación,kumpirmasyon,การยืนยัน,onay,підтвердження,xác nhận,
consensus,خوارزمية الإجماع,共识,共識,consensus,consensus,Konsens,κονή συναίνεση (ομοφωνία),amincewar juna,कन्सेन्सस,konszenzus,konsensus,consensus,コンセンサス,컨센서스,اجماع,konsensus,agreement wey everybody for di network get,Konsensus,consenso,consens,консенсус,consenso,pinagkasunduan,ฉันทามติ,fikir birliği,консенсус,đồng thuận,
consensus client,عميل إجماع,共识层客户端,共識層客戶端,consensus-client,client de consensus,Konsens-Client,Πελάτης συναίνεσης,Abokin tabbatar da amincewar juna,कन्सेन्सस क्लाइंट,konszenzusos kliens,Klien konsensus,Consensus client,コンセンサスクライアント,컨센서스 클라이언트,کلاینت اجماع,Klien konsensus,Software wey dey help network reach agreement,Klient konsensusu,Cliente de consenso,client de consens,Клиент консенсуса,cliente de consenso,Consensus client,ไคลเอ็นต์ฉันทามติ,Fikir birliği istemcisi,Консенсус-клієнт,Ứng dụng đồng thuận,
consensus layer,طبقة الإجماع,共识层,共識層,consensuslaag,couche de consensus,Konsens-Layer,Επίπεδο συναίνεσης,Matsayin tabbatar da amincewar juna,कन्सेन्सस लेयर,konszenzusos réteg,Layer konsensus,Consensus layer,コンセンサスレイヤー,합의 레이어,لایه اجماع,Lapisan konsensus,Machine wey dey make sure everybody agree,Warstwa konsensusu,Camada de consenso,strat de consens,Уровень консенсуса,capa de consenso,Layer ng kasunduan,เลเยอร์ฉันทามติ,Fikir birliği katmanı,Рівень консенсусу,Lớp đồng thuận,
consensus mechanism,آلية الإجماع,共识机制,共識機制,consensusmechanisme,mécanisme de consensus,Konsens-Mechanismus,Μηχανισμός συναίνεσης,Hanyar tabbatar da amincewar juna,कन्सेन्सस मैकेनिज्म,konszenzus mechanizmusa,Mekanisme konsensus,Meccanismo di consenso,コンセンサスメカニズム,합의 메커니즘,مکانیزم اجماع,Mekanisme konsensus,Rule for how di network reach agreement,Mechanizm konsensusu,Mecanismo de consenso,mecanism de consens,Механизм консенсуса,mecanismo de consenso,Mekanismo ng kasunduan,กลไกฉันทามติ,Fikir birliği mekanizması,Механізм консенсусу,Cơ chế đồng thuận,
Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys ,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,
Constantinople fork,انقسام (فورك) Byzantium,君士坦丁堡分叉,君士坦丁堡分叉,Constantinople fork,Fork Constantinople,Constantinople-Fork,Constantinople fork,Rabuwar Constantinople,कॉन्स्टेंटिनोपल फोर्क,Konstantinápolyi elágazás,Constantinople fork,Fork di Costantinopoli,コンスタンティノープルフォーク,콘스탄티노플 포크,فورک قسطنطنیه,Constantinople fork,Change wey happen for di Ethereum network,Fork Constantinople,Bifurcação Constantinople,Fork-ul Constantinople,Константинопольский форк,actualización Constantinople,Constantinople fork,การแยกคอนสแตนติโนเปิล,Constantinople çatalı,Форк «Константинополь»,Phân nhánh Constantinople,
Contacts,جهات الاتصال,联系方式,聯絡人,contacten,Contacts,Kontakte,Contacts (Επαφές),Lambobin sadarwa,कॉन्टेक्ट्स,Névjegyek,Kontak,Contatti,連絡先,계약,مخاطبین,Kenalan,Your contact list for crypto addresses,Kontakty,Contatos,Date de contact,Контакты,contactos,Mga Kontak,สัญญา,Kişiler,Контакти,Liên hệ,
contract,عقد,合约,合約,contract,contrat,Contract,συμβόλαιο,Yarjejeniya,कॉन्ट्रैक्ट,Okosszerződés,kontrak,contratto,コントラクト,계약,قرارداد,kontrak,agreement wey dey live for di blockchain,Kontrakt,contrato,contract,контракт,contrato,kontrata,สัญญา,sözleşme,контракт,hợp đồng,
contract account,حساب العقد,合约账户,合約帳戶,contract-account,compte du contrat,Vertragskonto,συμβατικό ποσό,Asusun yarjejeniya,कॉन्ट्रैक्ट अकाउंट,szerződéses számla,Akun kontrak,Account del contratto,コントラクトアカウント,계약 계정,حساب قرارداد,Akaun kontrak,Special account wey hold di contract code,Konto kontraktowe,Conta do contrato,contul contractului,Контрактный счет,cuenta de contrato,Account ng kontrata,บัญชีสัญญา,Sözleşme hesabı,Контрактний обліковий запис,Tài khoản hợp đồng,
conversion,التحويل,兑换,兌換,conversie,Conversion,Umrechnung,Conversion (Μετατροπή),Musanya,कन्वर्शन,Átváltás,Konversi,Conversione,換算,전환,تبدیل,Pertukaran,Change one crypto to another,Kurs wymiany,Conversão,Conversie,Обмен,conversión,Palitan,แลกเปลี่ยน,Dönüştürme,Конверсія,Chuyển đổi,
CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,
Copy,نسخ,复制,複製,kopiëren,Copier,Kopieren ,Copy (Αντιγραφή),Kwafi,कॉपी करें ,másolás,Salin,Copia,コピー,복사,کپی,Salin,Copy,Kopiuj,Copiar,Copiază ,Копировать ,copiar ,Kopyahin,คัดลอก,Kopyala,Скопіювати ,Sao chép,
