Term [en-US],Term [ar-001],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr-FR],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm-NG],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl-PH],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
consensus,خوارزمية الإجماع,共识,共識,consensus,consensus,Konsens,κονή συναίνεση (ομοφωνία),amincewar juna,कन्सेन्सस,konszenzus,konsensus,consensus,コンセンサス,컨센서스,اجماع,konsensus,agreement wey everybody for di network get,Konsensus,consenso,consens,консенсус,consenso,pinagkasunduan,ฉันทามติ,fikir birliği,консенсус,đồng thuận,consensus
consensus client,عميل إجماع,共识层客户端,共識層客戶端,consensus-client,client de consensus,Konsens-Client,πελάτης συναίνεσης,abokin tabbatar da amincewar juna,कन्सेन्सस क्लाइंट,konszenzusos kliens,klien konsensus,consensus client,コンセンサスクライアント,합의 클라이언트,کلاینت اجماع,klien konsensus,software wey dey help network reach agreement,klient konsensusu,cliente de consenso,client de consens,клиент консенсуса,cliente de consenso,consensus client,ไคลเอ็นต์ฉันทามติ,fikir birliği istemcisi,консенсус-клієнт,ứng dụng đồng thuận,consensus client
consensus layer,طبقة الإجماع,共识层,共識層,consensuslaag,couche de consensus,Konsens-Layer,επίπεδο συναίνεσης,matsayin tabbatar da amincewar juna,कन्सेन्सस लेयर,konszenzusos réteg,layer konsensus,consensus layer,コンセンサスレイヤー,합의 레이어,لایه اجماع,lapisan konsensus,machine wey dey make sure everybody agree,warstwa konsensusu,camada de consenso,strat de consens,уровень консенсуса,capa de consenso,layer ng consensus,เลเยอร์ฉันทามติ,fikir birliği katmanı,рівень консенсусу,lớp đồng thuận,consensus layer
consensus mechanism,آلية الإجماع,共识机制,共識機制,consensusmechanisme,mécanisme de consensus,Konsens-Mechanismus,μηχανισμός συναίνεσης,hanyar tabbatar da amincewar juna,कन्सेन्सस मैकेनिज्म,konszenzus mechanizmusa,mekanisme konsensus,meccanismo di consenso,コンセンサスメカニズム,합의 메커니즘,مکانیزم اجماع,mekanisme konsensus,rule for how di network reach agreement,mechanizm konsensusu,mecanismo de consenso,mecanism de consens,механизм консенсуса,mecanismo de consenso,mekanismo ng consensus,กลไกฉันทามติ,fikir birliği mekanizması,механізм консенсусу,cơ chế đồng thuận,consensus mechanism
Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys
Constantinople fork,انقسام Constantinople (هارد فورك),君士坦丁堡分叉,君士坦丁堡分叉,Constantinople fork,Fork Constantinople,Constantinople-Fork,ενημέρωση Constantinople,Rabuwar Constantinople,कॉन्स्टेंटिनोपल फोर्क,Konstantinápolyi elágazás,Constantinople fork,Fork di Costantinopoli,コンスタンティノープルフォーク,콘스탄티노플 포크,فورک قسطنطنیه,Constantinople fork,Change wey happen for di Ethereum network,Fork Constantinople,Bifurcação Constantinople,Fork-ul Constantinople,Константинопольский форк,Actualización Constantinople,Constantinople fork,การแยกคอนสแตนติโนเปิล,Constantinople çatalı,Форк «Константинополь»,Phân nhánh Constantinople,Constantinople fork
contract,عقد,合约,合約,contract,contrat,Contract,συμβόλαιο,yarjejeniya,कॉन्ट्रैक्ट,Okosszerződés,kontrak,contratto,コントラクト,계약,قرارداد,kontrak,agreement wey dey live for di blockchain,Kontrakt,contrato,contract,контракт,contrato,kontrata,สัญญา,sözleşme,контракт,hợp đồng,contract
contract account,حساب العقد,合约账户,合約帳戶,contract-account,compte du contrat,Vertragskonto,συμβατικό ποσό,asusun yarjejeniya,कॉन्ट्रैक्ट अकाउंट,szerződéses számla,akun kontrak,account del contratto,コントラクトアカウント,계약 계정,حساب قرارداد,akaun kontrak,special account wey hold di contract code,konto kontraktowe,conta do contrato,contul contractului,контрактный счет,cuenta de contrato,account ng kontrata,บัญชีสัญญา,sözleşme hesabı,контрактний обліковий запис,tài khoản hợp đồng,contract account
CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet
crypto bounties,مكافآت التشفير,加密货币赏金,加密貨幣賞金,cryptobounty's,primes crypto,Krypto-Belohnungen,επιβραβεύσεις κρυπτονoμίσματος,lada gano kurakurai na kudin dijital,क्रिप्टो बाउन्टीज़,kriptojutalmak,bounty kripto,crypto bounty,クリプトバウンティ,암호 현상금,پاداش‌های رمزی,ganjaran kripto,reward for finding wahala wey dey crypto projects,Programy bounty,recompensas de criptomoedas,bounty-uri cripto,крипто-баунти,recompensas criptográficas,mga pabuya ng crypto,รางวัลคริปโต,kripto bounty ödülleri,крипто-баунті,tiền thưởng tiền mã hoá,crypto bounties
crypto fund,صندوق استثمار الأصول المشفرة,加密货币基金,加密貨幣基金,cryptofonds,fonds crypto,Krypto-Fond,χρηματοδότηση κρυπτονομίσματος,asusun kudin dijital,क्रिप्टो फंड,kripto alap,dana kripto,crypto fund,暗号資産ファンド,암호화폐 펀드,صندوق رمزارزی,dana kripto,big pool of money wey dem fit invest for crypto projects,Kryptowalutowy fundusz inwestycyjny,criptofundo,fond cripto,криптофонд,criptofondo,pondo ng crypto,กองทุนคริปโต,kripto fonu,криптофонд,quỹ tiền mã hoá,crypto fund
crypto wallet,محفظة العملات المشفرة,加密货币钱包,加密貨幣錢包,cryptowallet,portefeuille crypto,Krypto-Wallet,πορτοφόλι κρυπτονομίσματος,walat kudin dijital,क्रिप्टो वॉलेट,kripto tárca,dompet kripto,wallet crypto,暗号資産ウォレット,암호화폐 지갑,کیف پول رمزارز,dompet kripto,place wey you keep your crypto safe,Portfel kryptowalutowy,carteira de criptomoedas,portofel cripto,криптокошелек,criptomonedero,wallet ng crypto,วอลเล็ตคริปโต,kripto cüzdanı,криптогаманець,ví tiền mã hoá,crypto wallet
crypto-,-مشفرة,加密-,加密-,crypto-,crypto-,Krypto-,κρυπτο-,na kudin dijital,क्रिप्टो-,kripto-,kripto-,crypto-,クリプト-,암호화,رمزارزی,kripto-,anything wey relate to cryptocurrency,Krypto-,cripto,cripto-,крипто,cripto-,crypto-,คริปโต,kripto-,крипто-,tiền mã hoá,crypto-
crypto-asset,أصل مشفر,加密资产,加密資產,crypto-asset,crypto-actif,Krypto-Asset,κρυπτοπεριουσιακά στοιχεία,kadarorin dijital,क्रिप्टो एसेट,kriptoeszköz,aset kripto,crypto asset,暗号資産,암호 자산,دارایی رمزارزی,aset kripto,digital moni wey get value,kryptoaktywa,criptoativo,criptoactiv,криптоактив,criptoactivo,crypto na asset,สินทรัพย์คริปโต,kripto varlık,криптоактив,tài sản tiền mã hoá,crypto-asset
crypto-compliance,امتثال الأصول المشفرة,加密-合规,加密-法規遵循,crypto-compliance,conformité crypto,Krypto-Compliance,κρυπτο-συμμόρφωση,bin daidaita da ƙa'idodin kudin dijital,क्रिप्टो-कंप्लायंस,kripto-engedékenység,kepatuhan kripto,crypto-compliance,クリプトコンプライアンス,암호화폐 컴플라이언스,انطباق رمزنگاری,pematuhan kripto,wey follow di rules for crypto,Crypto-compliance (zgodność z przepisami),criptocompliance,conformitate cripto,крипто-комплаенс,cumplimiento en materia de criptoactivos,crypto-compliance,การปฏิบัติตามกฎระเบียบคริปโต,kripto uyumu,криптовідповідність,tuân thủ tiền mã hoá,crypto-compliance
CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare,CryptoCompare
cryptocurrency,عملة مشفرة,加密货币,加密貨幣,cryptocurrency/cryptomunt,crypto-monnaie,Kryptowährung,κρυπτονόμισμα,kudin dijital,क्रिप्टोकरेंसी,kriptovaluta,mata uang kripto,criptovaluta,仮想通貨,암호화폐,رمزارز,mata wang kripto,crypto moni,Kryptowaluta,criptomoeda,criptomonede,криптовалюта,criptomoneda,cryptocurrency,เงินคริปโต,kripto para,криптовалюта,tiền mã hoá,cryptocurrency
cryptoeconomics,اقتصاديات الأصول المشفرة,加密经济,加密經濟學,crypto-economie,crypto-économie,Kryptoökonomie,κρυπτοοικονομία,tattalin arziƙin kudin dijital,क्रिप्टोइकोनॉमिक्स,kriptoökonómia,kriptonomik,cryptoeconomics,クリプトエコノミクス,암호경제학,اقتصاد رمزارز محور,kriptoekonomi,how crypto economy dey work,Kryptoekonomia,criptoeconomia,criptoeconomie,криптоэкономика,criptoeconomía,cryptoeconomics,เศรษฐกิจคริปโต,kripto ekonomi,криптоекономіка,kinh tế tiền mã hoá,cryptoeconomics
cryptography,التشفير,加密学,密碼學,cryptografie,cryptographie,Kryptographie,Κρυπτογράφηση,Ɓoye-ɓoye na kudin dijital,क्रिप्टोग्राफी,kriptográfia,kriptografi,crittografia,暗号技術,암호화,رمزنگاری,kriptografi,oga code wey dey keep things safe,Kryptografia,criptografia,criptografie,криптография,criptografía,kriptograpiya,วิทยาการเข้ารหัส,kriptografi,криптографія,mật mã học,cryptography
Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve
custody,الحفظ الآمن,托管,託管,custody/bewaring/beheer,conservation,Verwahrung,φύλαξη,ajiya kudin dijital,कस्टडी,tárolás,penyimpanan,custodia,カストディ,커스터디,حضانت,jagaan,keeping,powiernictwo,custódia,custodie,депозитарное хранение,custodia,kustodiya,การเก็บรักษา,saklayıcı kurum,самостійне зберігання,dịch vụ lưu ký,custody
D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT
DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI,DAI
DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO,DAO
dapp,dapp,dapp,dapp,dapp,dapp,dapp,dapp,dapp,dapp,dapp,dapp,dapp,DApp,디앱,dapp,dapp,dapp,DApp,dapp,dapp,dapp,dapp,dapp,dapp,dapp,dapp,dapp,dapp
DDoS,الهجمات الموزعة لحجب الخدمة (DDoS),DDoS攻击,DDoS攻擊,DDoS,Attaque par déni de service distribuée (DDoS),DDoS,Άρνησης εξυπηρέτησης (DDoS),Harin ƙwace sabis ta rarraba,डिनायल ऑफ सर्विस (DDoS),elosztott szolgáltatásmegtagadási (DDoS),DDoS,DDoS,DDoS,디도스,دیداس,DDoS,Many bad people wey try to block access to something online,DDoS,DDoS,DDoS,DDoS,DDoS,DDoS,DDoS,DDoS,DDoS,DDoS,DDoS
decentralization,اللامركزية,去中心化,去中心化,decentralisatie,décentralisation,Dezentralisierung,αποκέντρωση,rarraba iko,डीसेंट्रलाइज़ेशन,decentralizálás,desentralisasi,decentralizzazione,分散化,탈중앙화,تمرکززدایی,desentralisasi,no one person dey control am,Decentralizacja,descentralização,descentralizare,децентрализация,descentralización,desentralisasyon,กระจายศูนย์,merkeziyetsizleştirme,децентралізація,phi tập trung,decentralisation
decentralized application,تطبيق لامركزي,去中心化应用,去中心化應用程式,decentrale app,application décentralisée,Dezentralisierte Anwendung,αποκεντρωμένη εφαρμογή,aikace-aikacen dijital na cin gashin kansa,डीसेंट्रलाइज्ड एप्लीकेशन,decentralizált alkalmazás,aplikasi terdesentralisasi,applicazione decentralizzata,分散型アプリケーション,탈중앙화 애플리케이션,برنامه غیرمتمرکز,aplikasi terdesentralisasi,"app wey dey run on di blockchain, no central control",Zdecentralizowana aplikacja,aplicativo descentralizado,aplicație descentralizată,децентрализованное приложение,aplicación descentralizada,decentralized application,แอปพลิเคชันกระจายศูนย์,merkeziyetsiz uygulama,децентралізований додаток,ứng dụng phi tập trung,decentralised application
Decentralized Autonomous Organization,منظمة مستقلة لامركزية,去中心化自治组织,去中心化自治組織,Decentrale autonome organisatie,Organisation autonome décentralisée,Dezentralisierte autonome Organisation,Αποκεντρωμένος αυτόνομος οργανισμός,Ƙungiyar cin gashin kanta ta dijital,Decentralized Autonomous Organization,Decentralizált autonóm szervezet,Organisasi Otonom Terdesentralisasi,Organizzazione autonoma decentralizzata,分散型自律組織,탈중앙화 자율조직,سازمان خودگردان غیرمتمرکز,Pertubuhan Autonomi Terpencar,Community wey control project without leader,Zdecentralizowana autonomiczna organizacja,Organização autônoma descentralizada,Organizație autonomă descentralizată,Децентрализованная автономная организация,organización autónoma descentralizada,Decentralized Autonomous Organization,องค์กรอัตโนมัติแบบกระจายศูนย์,Merkeziyetsiz Otonom Organizasyon,Децентралізована автономна організація,Tổ chức tự trị phi tập trung,Decentralised Autonomous Organisation
decentralized exchange,بورصة لامركزية,去中心化交易所,去中心化交易所,decentrale exchange,échange décentralisé,Dezentralisierte Börse,αποκεντρωμένη ανταλλαγή,kasuwancin dijital na cin gashin kansa,डीसेंट्रलाइज्ड एक्सचेंज,decentralizált tőzsde,bursa terdesentralisasi,exchange decentralizzato,分散型取引所,탈중앙화 거래소,صرافی غیرمتمرکز,pertukaran terdesentralisasi,place to buy and sell crypto without wahala,Giełda zdecentralizowana,corretora descentralizada,bursă descentralizată,децентрализованная биржа,cambio descentralizado,decentralized exchange,ตลาดแลกเปลี่ยนแบบกระจายศูนย์,merkeziyetsiz borsa,децентралізована біржа,sàn giao dịch phi tập trung,decentralised exchange
decentralized finance,التمويل اللامركزي,去中心化金融,去中心化金融,decentralized finance,finance décentralisée,Dezentralisierte Finanzen,αποκεντρωμένη χρηματοοικονομική,tattalin arziƙi na dijital na cin gashin kansa,डीसेंट्रलाइज्ड फाइनेंस,decentralizált finanszírozás,keuangan terdesentralisasi,finanza decentralizzata,分散型金融,탈중앙화 금융,امور مالی غیرمتمرکز,kewangan terdesentralisasi,crypto finance wey nor need bank,zdecentralizowane finanse,finanças descentralizadas,finanțe descentralizate,децентрализованные финансы,finanzas descentralizadas,decentralized finance,การเงินกระจายศูนย์,merkeziyetsiz finans,децентралізовані фінанси,tài chính phi tập trung,decentralised finance
decentralized web,الويب اللامركزي,去中心化网络,去中心化網路,gedecentraliseerd web,Web décentralisé,Dezentralisiertes Web,αποκεντρωμένος ιστός,intanet na cin gashin kansa,डीसेंट्रलाइज्ड वेब,decentralizált web,web terdesentralisasi,web decentralizzato,分散型インターネット,탈중앙화 웹,وب غیرمتمرکز,web terdesentralisasi,"internet wey no central control, everything dey open and free",Zdecentralizowana sieć Web,web descentralizada,web descentralizat,децентрализованная сеть,web descentralizada,desentralisadong web,เว็บกระจายศูนย์,merkeziyetsiz web,децентралізована мережа,trang web phi tập trung,decentralised web
